Monocyte2	chrM
E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0009	0	0	0.0002	0.9986	0.0001	0	0.0002
0	0	0	0.0009	0	0	0.0002	0.9986	0.0001	0	0.0002
0	0	0	0.001	0	0	0.0003	0.9983	0.0001	0.0001	0.0002
0	0	0	0.0013	0	0	0.0004	0.9976	0.0003	0.0001	0.0003
0	0	0	0.002	0	0	0.0008	0.9949	0.0017	0.0002	0.0005
0	0	0	0.0035	0	0	0.0016	0.9792	0.0141	0.0006	0.001
0	0	0	0.0057	0.0003	0	0.0028	0.8615	0.126	0.0014	0.0022
